iter	Passed	Remaining
582	11649	8332
583	11666	8310
584	11693	8295
585	11715	8277
586	11733	8255
587	11754	8236
588	11780	8220
589	11808	8205
590	11834	8189
591	11857	8171
592	11882	8155
593	11906	8138
594	11930	8120
595	11955	8104
596	11979	8086
597	12005	8070
598	12030	8053
599	12053	8035
600	12073	8015
601	12096	7997
602	12121	7980
603	12147	7964
604	12168	7945
605	12192	7927
606	12216	7909
607	12238	7890
608	12261	7872
609	12278	7849
610	12295	7828
611	12321	7811
612	12346	7794
613	12371	7777
614	12396	7760
615	12418	7741
616	12444	7724
617	12468	7706
618	12496	7691
619	12527	7678
620	12555	7662
621	12585	7648
622	12620	7636
623	12651	7623
624	12682	7609
625	12698	7586
626	12723	7569
627	12751	7553
628	12786	7541
629	12821	7529
630	12852	7515
631	12884	7502
632	12912	7486
633	12944	7472
634	12976	7458
635	13006	7443
636	13038	7429
637	13068	7414
638	13094	7397
639	13112	7375
640	13138	7358
641	13164	7340
642	13186	7321
643	13211	7303
644	13216	7274
645	13242	7256
646	13268	7239
647	13286	7217
648	13307	7197
649	13332	7178
650	13353	7158
651	13374	7138
652	13400	7120
653	13418	7099
654	13443	7080
655	13467	7061
656	13493	7044
657	13518	7026
658	13542	7007
659	13567	6989
660	13592	6971
661	13617	6952
662	13643	6935
663	13667	6915
664	13688	6895
665	13712	6876
666	13738	6858
667	13762	6840
668	13783	6819
669	13809	6801
670	13835	6783
671	13861	6765
672	13886	6747
673	13910	6728
674	13929	6706
675	13951	6686
676	13975	6667
677	14000	6649
678	14026	6631
679	14041	6607
680	14063	6587
681	14090	6570
682	14113	6550
683	14130	6528
684	14155	6509
685	14179	6490
686	14208	6473
687	14226	6451
688	14244	6429
689	14269	6411
690	14294	6392
691	14315	6371
692	14339	6352
693	14363	6333
694	14391	6315
695	14417	6297
696	14443	6278
697	14466	6259
698	14489	6239
699	14516	6221
700	14538	6201
701	14563	6182
702	14584	6161
703	14609	6142
704	14634	6123
705	14660	6104
706	14685	6086
707	14708	6066
708	14735	6047
709	14760	6028
710	14781	6008
711	14805	5988
712	14821	5965
713	14846	5946
714	14863	5924
715	14889	5905
716	14913	5886
717	14938	5867
718	14962	5847
719	14987	5828
720	15012	5809
721	15042	5791
722	15067	5772
723	15084	5750
724	15102	5728
725	15122	5707
726	15143	5686
727	15163	5665
728	15180	5643
729	15205	5623
730	15231	5604
731	15256	5585
732	15273	5563
733	15294	5542
734	15319	5523
735	15338	5501
736	15365	5483
737	15391	5464
738	15416	5444
739	15440	5424
740	15468	5406
741	15496	5388
742	15521	5368
743	15550	5350
744	15575	5331
745	15592	5309
746	15617	5289
747	15635	5267
748	15660	5247
749	15686	5228
750	15710	5209
751	15736	5189
752	15758	5169
753	15782	5149
754	15806	5129
755	15831	5109
756	15858	5090
757	15884	5071
758	15893	5046
759	15914	5025
760	15934	5004
761	15960	4984
762	15977	4962
763	16002	4943
764	16029	4924
765	16054	4904
766	16080	4885
767	16106	4865
768	16131	4845
769	16148	4823
770	16167	4802
771	16192	4782
772	16216	4762
773	16239	4741
774	16260	4720
775	16285	4700
776	16309	4680
777	16335	4661
778	16360	4641
779	16385	4621
780	16410	4601
781	16435	4581
782	16457	4560
783	16475	4539
784	16500	4519
785	16522	4498
786	16543	4477
787	16568	4457
788	16594	4437
789	16615	4416
790	16640	4396
791	16665	4376
792	16690	4356
793	16704	4333
794	16729	4313
795	16758	4294
796	16787	4275
797	16807	4254
798	16830	4233
799	16855	4213
800	16877	4192
801	16902	4172
802	16926	4152
803	16954	4133
804	16982	4113
805	17006	4093
806	17031	4073
807	17057	4053
808	17079	4032
809	17096	4010
810	17121	3990
811	17146	3969
812	17164	3948
813	17189	3927
814	17213	3907
815	17239	3887
816	17256	3865
817	17273	3843
818	17298	3823
819	17322	3802
820	17343	3781
821	17367	3760
822	17393	3740
823	17411	3718
824	17435	3698
825	17456	3677
826	17481	3657
827	17498	3635
828	17520	3613
829	17541	3592
830	17567	3572
831	17592	3552
832	17619	3532
833	17644	3512
834	17668	3491
835	17685	3469
836	17712	3449
837	17726	3426
838	17750	3406
839	17764	3383
840	17789	3363
841	17809	3341
842	17833	3321
843	17846	3298
844	17860	3276
845	17885	3255
846	17909	3235
847	17938	3215
848	17968	3195
849	17995	3175
850	18021	3155
851	18049	3135
852	18074	3114
853	18101	3094
854	18126	3074
855	18152	3053
856	18179	3033
857	18199	3012
858	18224	2991
859	18245	2970
860	18269	2949
861	18295	2928
862	18320	2908
863	18345	2887
864	18370	2867
865	18397	2846
866	18421	2825
867	18442	2804
868	18468	2784
869	18485	2762
870	18512	2741
871	18537	2721
872	18564	2700
873	18586	2679
874	18611	2658
875	18633	2637
876	18656	2616
877	18679	2595
878	18701	2574
879	18726	2553
880	18745	2532
